# 
# -- Phylter v. 0.9.3 -- 
# Fri Nov 18 18:11:37 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=1.55
# k2=1.55
# Norm=median
# Norm.cutoff=0.001
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# InitialOnly=FALSE
# normalizeby=row
# 
# CLEANING STEP
# 
# Initial number of genes passed to Phylter: 14463
# Number of genes discarded before the analysis: 0
# Genes discarded: 
# 
# SUMMARY
# 
# Number of genes analyzed: 14463
# Number of species analyzed: 53
# Total number of outliers detected: 20157
# Number of complete gene outliers : 99
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.894013697221899
# Gain: 10.99% 
# Loss (data filtering): 3.18% 
# Outlier gene(s) detected: ENSG00000005073_HOXA11;ENSG00000018510_AGPS;ENSG00000033122_LRRC7;ENSG00000034713_GABARAPL2;ENSG00000055917_PUM2;ENSG00000058063_ATP11B;ENSG00000062650_WAPL;ENSG00000067208_EVI5;ENSG00000079841_RIMS1;ENSG00000081189_MEF2C;ENSG00000085382_HACE1;ENSG00000086200_IPO11;ENSG00000086758_HUWE1;ENSG00000088881_EBF4;ENSG00000088986_DYNLL1;ENSG00000089123_TASP1;ENSG00000092148_HECTD1;ENSG00000095794_CREM;ENSG00000101464_PIGU;ENSG00000102893_PHKB;ENSG00000103121_CMC2;ENSG00000105991_HOXA1;ENSG00000106031_HOXA13;ENSG00000107105_ELAVL2;ENSG00000107864_CPEB3;ENSG00000109270_LAMTOR3;ENSG00000112062_MAPK14;ENSG00000112245_PTP4A1;ENSG00000115355_CCDC88A;ENSG00000115464_USP34;ENSG00000117859_OSBPL9;ENSG00000118007_STAG1;ENSG00000119138_KLF9;ENSG00000120093_HOXB3;ENSG00000122884_P4HA1;ENSG00000123838_C4BPA;ENSG00000126351_THRA;ENSG00000128585_MKLN1;ENSG00000131759_RARA;ENSG00000132466_ANKRD17;ENSG00000133703_KRAS;ENSG00000134717_BTF3L4;ENSG00000134744_ZCCHC11;ENSG00000135116_HRK;ENSG00000137449_CPEB2;ENSG00000137845_ADAM10;ENSG00000138767_CNOT6L;ENSG00000139910_NOVA1;ENSG00000140264_SERF2;ENSG00000145354_CISD2;ENSG00000148634_HERC4;ENSG00000149269_PAK1;ENSG00000151461_UPF2;ENSG00000152192_POU4F1;ENSG00000154582_ELOC;ENSG00000155621_C9orf85;ENSG00000157823_AP3S2;ENSG00000158691_ZSCAN12;ENSG00000161654_LSM12;ENSG00000162402_USP24;ENSG00000162599_NFIA;ENSG00000162961_DPY30;ENSG00000163463_KRTCAP2;ENSG00000164107_HAND2;ENSG00000164190_NIPBL;ENSG00000164983_TMEM65;ENSG00000165288_BRWD3;ENSG00000166796_LDHC;ENSG00000167332_OR51E2;ENSG00000168216_LMBRD1;ENSG00000169118_CSNK1G1;ENSG00000170035_UBE2E3;ENSG00000170627_GTSF1;ENSG00000171004_HS6ST2;ENSG00000172201_ID4;ENSG00000176406_RIMS2;ENSG00000180447_GAS1;ENSG00000180818_HOXC10;ENSG00000180957_PITPNB;ENSG00000182287_AP1S2;ENSG00000182568_SATB1;ENSG00000182759_MAFA;ENSG00000182831_C16orf72;ENSG00000182968_SOX1;ENSG00000185551_NR2F2;ENSG00000186687_LYRM7;ENSG00000187140_FOXD3;ENSG00000188283_ZNF383;ENSG00000196821_C6orf106;ENSG00000197780_TAF13;ENSG00000197956_S100A6;ENSG00000198353_HOXC4;ENSG00000198523_PLN;ENSG00000198914_POU3F3;ENSG00000204519_ZNF551;ENSG00000206560_ANKRD28;ENSG00000230989_HSBP1;ENSG00000242616_GNG10;ENSG00000264364_DYNLL2
# 
# OUTLIERS (including discarded elements, if any)
# 
# Genes	Species
ENSG00000000003_TSPAN6	Callorhinus_ursinus
ENSG00000002745_WNT16	Otocyon_megalotis
ENSG00000002834_LASP1	Ursus_thibetanus
ENSG00000005022_SLC25A5	Arctocephalus_gazella
ENSG00000005022_SLC25A5	Leptonychotes_weddellii
ENSG00000005243_COPZ2	Procyon_lotor
ENSG00000005379_TSPOAP1	Nasua_narica
ENSG00000005381_MPO	Ursus_maritimus
ENSG00000005381_MPO	Ailurus_fulgens
ENSG00000005381_MPO	Arctocephalus_gazella
ENSG00000005471_ABCB4	Paradoxurus_hermaphroditus
ENSG00000005471_ABCB4	Panthera_tigris
ENSG00000005471_ABCB4	Acinonyx_jubatus
ENSG00000005471_ABCB4	Pteronura_brasiliensis
ENSG00000005471_ABCB4	Ailuropoda_melanoleuca
ENSG00000005471_ABCB4	Ursus_arctos
ENSG00000005471_ABCB4	Procyon_lotor
ENSG00000005471_ABCB4	Mirounga_angustirostris
ENSG00000005471_ABCB4	Otocyon_megalotis
ENSG00000005471_ABCB4	Odobenus_rosmarus
ENSG00000005882_PDK2	Paradoxurus_hermaphroditus
ENSG00000005882_PDK2	Nasua_narica
ENSG00000006327_TNFRSF12A	Potos_flavus
ENSG00000007174_DNAH9	Felis_catus
ENSG00000007174_DNAH9	Panthera_pardus
ENSG00000007174_DNAH9	Eumetopias_jubatus
ENSG00000007174_DNAH9	Crocuta_Crocuta
ENSG00000007174_DNAH9	Helogale_parvula
ENSG00000007174_DNAH9	Mellivora_capensis
ENSG00000007174_DNAH9	Mustela_putorius
ENSG00000007174_DNAH9	Enhydra_lutris
ENSG00000007174_DNAH9	Ursus_maritimus
ENSG00000007174_DNAH9	Spilogale_gracilis
ENSG00000007174_DNAH9	Canis_familiaris
ENSG00000007174_DNAH9	Neomonachus_schauinslandi
ENSG00000007933_FMO3	Cryptoprocta_ferox
ENSG00000007933_FMO3	Paradoxurus_hermaphroditus
ENSG00000007933_FMO3	Taxidea_taxus
ENSG00000007933_FMO3	Potos_flavus
ENSG00000007933_FMO3	Bassariscus_sumichrasti
ENSG00000008196_TFAP2B	Helogale_parvula
ENSG00000010295_IFFO1	Crocuta_Crocuta
ENSG00000010295_IFFO1	Panthera_tigris
ENSG00000010295_IFFO1	Puma_concolor
ENSG00000011454_RABGAP1	Leptonychotes_weddellii
ENSG00000012223_LTF	Neofelis_nebulosa
ENSG00000012223_LTF	Gulo_gulo
ENSG00000012223_LTF	Leptonychotes_weddellii
ENSG00000012504_NR1H4	Leptonychotes_weddellii
ENSG00000013810_TACC3	Potos_flavus
ENSG00000015153_YAF2	Manis_javanica
ENSG00000016490_CLCA1	Mungos_mungo
ENSG00000016490_CLCA1	Bassariscus_sumichrasti
ENSG00000016490_CLCA1	Otocyon_megalotis
ENSG00000016490_CLCA1	Phoca_vitulina
ENSG00000016490_CLCA1	Neofelis_nebulosa
ENSG00000016490_CLCA1	Panthera_pardus
ENSG00000016490_CLCA1	Odobenus_rosmarus
ENSG00000018189_RUFY3	Ailuropoda_melanoleuca
ENSG00000018189_RUFY3	Potos_flavus
ENSG00000018869_ZNF582	Cryptoprocta_ferox
ENSG00000018869_ZNF582	Neofelis_nebulosa
ENSG00000018869_ZNF582	Ailuropoda_melanoleuca
ENSG00000018869_ZNF582	Manis_javanica
ENSG00000018869_ZNF582	Hyaena_hyaena
ENSG00000018869_ZNF582	Mungos_mungo
ENSG00000018869_ZNF582	Felis_catus
ENSG00000018869_ZNF582	Acinonyx_jubatus
ENSG00000018869_ZNF582	Mellivora_capensis
ENSG00000018869_ZNF582	Mustela_putorius
ENSG00000018869_ZNF582	Canis_familiaris
ENSG00000018869_ZNF582	Odobenus_rosmarus
ENSG00000018869_ZNF582	Eumetopias_jubatus
