"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Ailuropoda_melanoleuca - Callorhinus_ursinus",6493,558,84,9,0.294162139131525
"Ailuropoda_melanoleuca - Canis_familiaris",12192,753,215,22,0.0136156220881206
"Ailuropoda_melanoleuca - Eumetopias_jubatus",7543,682,111,16,0.0407314579668976
"Ailuropoda_melanoleuca - Felis_catus",11229,656,144,22,3.01297031135914e-05
"Ailuropoda_melanoleuca - Mustela_putorius",11720,770,204,22,0.014863453250807
"Ailuropoda_melanoleuca - Neomonachus_schauinslandi",12335,797,168,24,0.000198997644967339
"Ailuropoda_melanoleuca - Odobenus_rosmarus",12214,913,198,25,0.00676417859652239
"Ailuropoda_melanoleuca - Panthera_pardus",12123,733,188,27,2.35202716615065e-05
"Ailuropoda_melanoleuca - Panthera_tigris",11725,840,209,75,7.10303876981901e-34
"Ailuropoda_melanoleuca - Puma_concolor",9907,894,165,59,1.26786767132295e-21
"Ailuropoda_melanoleuca - Suricata_suricatta",10368,730,176,29,1.38248944945666e-05
"Ailuropoda_melanoleuca - Ursus_maritimus",11924,771,173,44,1.37347293031977e-15
"Ailuropoda_melanoleuca - Zalophus_californianus",5506,586,76,12,0.104577992057251
"Callorhinus_ursinus - Canis_familiaris",6979,146,121,8,0.00372016606165771
"Callorhinus_ursinus - Eumetopias_jubatus",6660,105,47,4,0.00618519772920353
"Callorhinus_ursinus - Felis_catus",6309,92,70,3,0.0817632185812128
"Callorhinus_ursinus - Mustela_putorius",6616,182,100,7,0.0198533507625133
"Callorhinus_ursinus - Neomonachus_schauinslandi",7147,186,79,9,0.000193047123682821
"Callorhinus_ursinus - Odobenus_rosmarus",7061,355,72,7,0.0687758340023569
"Callorhinus_ursinus - Panthera_pardus",7003,161,95,10,5.87054671428855e-05
"Callorhinus_ursinus - Panthera_tigris",6617,212,122,39,1.98672180050941e-29
"Callorhinus_ursinus - Puma_concolor",6086,246,113,41,2.36615393735808e-29
"Callorhinus_ursinus - Suricata_suricatta",5953,139,101,14,6.71485805297302e-08
"Callorhinus_ursinus - Ursus_maritimus",6760,160,112,24,4.91955867631233e-17
"Callorhinus_ursinus - Zalophus_californianus",4782,71,37,3,0.0169887132114765
"Canis_familiaris - Eumetopias_jubatus",8091,190,153,11,0.000919414984999602
"Canis_familiaris - Felis_catus",11863,216,174,11,0.000339289128163414
"Canis_familiaris - Mustela_putorius",12383,301,251,11,0.0431238386575225
"Canis_familiaris - Neomonachus_schauinslandi",13119,358,214,18,2.33993538354505e-05
"Canis_familiaris - Odobenus_rosmarus",12955,517,243,16,0.0344546128751924
"Canis_familiaris - Panthera_pardus",12919,313,229,16,0.000146514674312827
"Canis_familiaris - Panthera_tigris",12405,407,257,71,1.64918750687177e-46
"Canis_familiaris - Puma_concolor",10525,444,207,61,1.91325104539752e-35
"Canis_familiaris - Suricata_suricatta",10948,276,224,26,6.98919950771081e-11
"Canis_familiaris - Ursus_maritimus",12614,355,264,46,8.00581159733224e-24
"Canis_familiaris - Zalophus_californianus",5918,106,110,3,0.315063504646012
"Eumetopias_jubatus - Felis_catus",7318,132,83,4,0.0624934753369026
"Eumetopias_jubatus - Mustela_putorius",7666,251,125,9,0.0211910426237506
"Eumetopias_jubatus - Neomonachus_schauinslandi",8287,241,100,13,5.78324667642086e-06
"Eumetopias_jubatus - Odobenus_rosmarus",8178,422,94,7,0.210914358198375
"Eumetopias_jubatus - Panthera_pardus",8109,205,115,10,0.000633702448305417
"Eumetopias_jubatus - Panthera_tigris",7685,273,145,45,5.3078051346566e-31
"Eumetopias_jubatus - Puma_concolor",7099,293,126,41,1.26426053299593e-26
"Eumetopias_jubatus - Suricata_suricatta",6905,197,123,18,9.13931143820747e-09
"Eumetopias_jubatus - Ursus_maritimus",7853,211,150,31,1.77429129259724e-19
"Eumetopias_jubatus - Zalophus_californianus",5390,91,37,1,0.468546898426553
"Felis_catus - Mustela_putorius",11436,235,186,16,1.37979486164372e-06
"Felis_catus - Neomonachus_schauinslandi",12019,286,142,14,7.11344133025937e-06
"Felis_catus - Odobenus_rosmarus",11890,443,169,16,0.000571259956890192
"Felis_catus - Panthera_pardus",11887,176,129,14,6.43309977414861e-09
"Felis_catus - Panthera_tigris",11482,258,146,41,4.40545490964824e-34
"Felis_catus - Puma_concolor",9687,303,123,39,3.18049245772548e-29
"Felis_catus - Suricata_suricatta",10140,210,150,22,3.89360577018132e-13
"Felis_catus - Ursus_maritimus",11628,227,185,35,5.89593387002643e-25
"Felis_catus - Zalophus_californianus",5268,72,59,5,0.00116978631365652
"Mustela_putorius - Neomonachus_schauinslandi",12565,389,201,20,4.2339733997691e-06
"Mustela_putorius - Odobenus_rosmarus",12441,522,228,16,0.0308177466258921
"Mustela_putorius - Panthera_pardus",12334,323,222,21,3.69635803217846e-07
"Mustela_putorius - Panthera_tigris",11905,415,238,61,2.65304621085239e-36
"Mustela_putorius - Puma_concolor",10064,428,201,50,3.05731291374101e-25
"Mustela_putorius - Suricata_suricatta",10496,303,194,30,3.45474280974013e-14
"Mustela_putorius - Ursus_maritimus",12097,327,243,35,3.28468206027395e-16
"Mustela_putorius - Zalophus_californianus",5537,174,81,4,0.249789072600985
"Neomonachus_schauinslandi - Odobenus_rosmarus",13241,568,171,21,1.36442828322213e-05
"Neomonachus_schauinslandi - Panthera_pardus",13160,357,188,22,7.91318685722069e-09
"Neomonachus_schauinslandi - Panthera_tigris",12635,413,215,67,9.95510123429478e-48
"Neomonachus_schauinslandi - Puma_concolor",10711,449,185,65,2.53867877890809e-43
"Neomonachus_schauinslandi - Suricata_suricatta",11126,328,190,25,3.09816791503089e-10
"Neomonachus_schauinslandi - Ursus_maritimus",12855,380,213,44,4.46733116502562e-25
"Neomonachus_schauinslandi - Zalophus_californianus",6052,163,61,9,3.11933086789191e-05
"Odobenus_rosmarus - Panthera_pardus",12988,538,209,28,3.91224608871084e-08
"Odobenus_rosmarus - Panthera_tigris",12447,613,243,74,5.05010372225878e-39
"Odobenus_rosmarus - Puma_concolor",10558,665,202,66,1.43701899619704e-30
"Odobenus_rosmarus - Suricata_suricatta",11012,521,210,29,1.88122201736878e-07
"Odobenus_rosmarus - Ursus_maritimus",12672,554,239,47,1.50839191615246e-18
"Odobenus_rosmarus - Zalophus_californianus",5973,351,68,7,0.102676527094526
"Panthera_pardus - Panthera_tigris",12541,381,194,66,5.26813126260898e-52
"Panthera_pardus - Puma_concolor",10607,428,174,64,3.5128639549862e-45
"Panthera_pardus - Suricata_suricatta",10955,290,176,26,7.91258643618532e-13
"Panthera_pardus - Ursus_maritimus",12660,323,229,47,1.57968287023389e-29
"Panthera_pardus - Zalophus_californianus",5938,135,74,8,0.000247205479334047
"Panthera_tigris - Puma_concolor",10394,439,173,66,1.58541872554914e-46
"Panthera_tigris - Suricata_suricatta",10583,331,210,60,9.45159344058287e-42
"Panthera_tigris - Ursus_maritimus",12504,363,234,62,1.19569889692413e-42
"Panthera_tigris - Zalophus_californianus",5593,203,110,46,1.01061862274719e-38
"Puma_concolor - Suricata_suricatta",9020,359,178,60,1.95737937066191e-40
"Puma_concolor - Ursus_maritimus",10452,413,193,67,4.73629371408401e-46
"Puma_concolor - Zalophus_californianus",5164,209,96,37,8.11287664761603e-28
"Suricata_suricatta - Ursus_maritimus",10741,270,212,43,2.69277585459886e-27
"Suricata_suricatta - Zalophus_californianus",5123,132,94,15,1.08785310050822e-08
"Ursus_maritimus - Zalophus_californianus",5717,158,107,28,1.47380419433087e-20
