"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Ailuropoda_melanoleuca - Callorhinus_ursinus",6493,558,182,29,0.000769570661329269
"Ailuropoda_melanoleuca - Canis_familiaris",12192,753,740,66,0.00148430723349904
"Ailuropoda_melanoleuca - Eumetopias_jubatus",7543,682,223,36,0.000397659519023376
"Ailuropoda_melanoleuca - Felis_catus",11229,656,450,46,0.000140857427460953
"Ailuropoda_melanoleuca - Mustela_putorius",11720,770,445,56,1.7397678308698e-06
"Ailuropoda_melanoleuca - Neomonachus_schauinslandi",12335,797,454,53,1.85408181211482e-05
"Ailuropoda_melanoleuca - Odobenus_rosmarus",12214,913,460,56,0.000184663251863526
"Ailuropoda_melanoleuca - Panthera_pardus",12123,733,514,52,0.000168247005466213
"Ailuropoda_melanoleuca - Panthera_tigris",11725,840,483,99,1.73473041275776e-22
"Ailuropoda_melanoleuca - Puma_concolor",9907,894,364,93,2.33692577815067e-21
"Ailuropoda_melanoleuca - Suricata_suricatta",10368,730,378,92,2.30225428862398e-27
"Ailuropoda_melanoleuca - Ursus_maritimus",11924,771,400,78,3.80681916881977e-19
"Ailuropoda_melanoleuca - Zalophus_californianus",5506,586,159,20,0.244968774140765
"Callorhinus_ursinus - Canis_familiaris",6979,146,409,18,0.00208276328326706
"Callorhinus_ursinus - Eumetopias_jubatus",6660,105,113,9,6.52145799702097e-05
"Callorhinus_ursinus - Felis_catus",6309,92,205,10,0.000742975473815505
"Callorhinus_ursinus - Mustela_putorius",6616,182,182,7,0.234612035181617
"Callorhinus_ursinus - Neomonachus_schauinslandi",7147,186,207,18,6.3730806176976e-06
"Callorhinus_ursinus - Odobenus_rosmarus",7061,355,207,22,0.000672480858487496
"Callorhinus_ursinus - Panthera_pardus",7003,161,261,22,1.03864568909542e-07
"Callorhinus_ursinus - Panthera_tigris",6617,212,222,53,6.34151914709886e-33
"Callorhinus_ursinus - Puma_concolor",6086,246,173,46,3.46546393925516e-26
"Callorhinus_ursinus - Suricata_suricatta",5953,139,165,46,6.23599630974489e-39
"Callorhinus_ursinus - Ursus_maritimus",6760,160,165,35,1.81906307697823e-24
"Callorhinus_ursinus - Zalophus_californianus",4782,71,70,3,0.0849178960502131
"Canis_familiaris - Eumetopias_jubatus",8091,190,485,26,6.11056436839191e-05
"Canis_familiaris - Felis_catus",11863,216,734,28,0.000158354066753819
"Canis_familiaris - Mustela_putorius",12383,301,728,36,3.75416634509833e-05
"Canis_familiaris - Neomonachus_schauinslandi",13119,358,808,48,2.67783697599515e-07
"Canis_familiaris - Odobenus_rosmarus",12955,517,806,65,3.6560861467986e-08
"Canis_familiaris - Panthera_pardus",12919,313,849,40,3.86761526840827e-05
"Canis_familiaris - Panthera_tigris",12405,407,795,108,2.912538369927e-39
"Canis_familiaris - Puma_concolor",10525,444,631,87,7.31754542377512e-24
"Canis_familiaris - Suricata_suricatta",10948,276,674,100,6.36917210658727e-52
"Canis_familiaris - Ursus_maritimus",12614,355,746,83,1.83543970837285e-28
"Canis_familiaris - Zalophus_californianus",5918,106,367,10,0.120128925509077
"Eumetopias_jubatus - Felis_catus",7318,132,231,13,0.000253874326284715
"Eumetopias_jubatus - Mustela_putorius",7666,251,226,16,0.00297193412177172
"Eumetopias_jubatus - Neomonachus_schauinslandi",8287,241,247,29,1.00252298033381e-10
"Eumetopias_jubatus - Odobenus_rosmarus",8178,422,236,27,7.78710379186137e-05
"Eumetopias_jubatus - Panthera_pardus",8109,205,312,28,3.96619475534139e-09
"Eumetopias_jubatus - Panthera_tigris",7685,273,258,55,1.32815062549835e-28
"Eumetopias_jubatus - Puma_concolor",7099,293,219,48,1.2022078483903e-22
"Eumetopias_jubatus - Suricata_suricatta",6905,197,212,56,2.37977137711027e-40
"Eumetopias_jubatus - Ursus_maritimus",7853,211,236,50,7.03468422574665e-32
"Eumetopias_jubatus - Zalophus_californianus",5390,91,104,4,0.0981438885715492
"Felis_catus - Mustela_putorius",11436,235,459,24,2.48812157825841e-05
"Felis_catus - Neomonachus_schauinslandi",12019,286,493,29,6.4106705212906e-06
"Felis_catus - Odobenus_rosmarus",11890,443,474,40,1.0847573749024e-06
"Felis_catus - Panthera_pardus",11887,176,408,23,3.41197049904416e-08
"Felis_catus - Panthera_tigris",11482,258,396,55,1.30290462377104e-28
"Felis_catus - Puma_concolor",9687,303,306,53,2.37454178189026e-25
"Felis_catus - Suricata_suricatta",10140,210,351,67,2.59671195398981e-47
"Felis_catus - Ursus_maritimus",11628,227,448,48,1.00206506281e-22
"Felis_catus - Zalophus_californianus",5268,72,177,5,0.093430539063027
"Mustela_putorius - Neomonachus_schauinslandi",12565,389,474,33,1.16367452268844e-05
"Mustela_putorius - Odobenus_rosmarus",12441,522,475,33,0.00310311421749448
"Mustela_putorius - Panthera_pardus",12334,323,523,34,9.24693111674762e-07
"Mustela_putorius - Panthera_tigris",11905,415,494,81,4.59793262886711e-33
"Mustela_putorius - Puma_concolor",10064,428,370,62,2.77978456503579e-21
"Mustela_putorius - Suricata_suricatta",10496,303,372,78,1.55031788598738e-46
