"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" "1" "phy" "2e+05" "100" "1e-08" "1" "18" "16" "2" "7" "0.888888888888889" "0.695652173913043" "23"
"2" "1" "tsh" "2e+05" "100" "1e-08" "1" "15" "3" "12" "20" "0.2" "0.130434782608696" "23"
"3" "2" "phy" "2e+05" "100" "1e-08" "1" "22" "20" "2" "8" "0.909090909090909" "0.714285714285714" "28"
"4" "2" "tsh" "2e+05" "100" "1e-08" "1" "4" "0" "4" "28" "0" "0" "28"
"5" "3" "phy" "2e+05" "100" "1e-08" "1" "31" "25" "6" "6" "0.806451612903226" "0.806451612903226" "31"
"6" "3" "tsh" "2e+05" "100" "1e-08" "1" "7" "1" "6" "30" "0.142857142857143" "0.032258064516129" "31"
"7" "4" "phy" "2e+05" "100" "1e-08" "1" "20" "14" "6" "4" "0.7" "0.777777777777778" "18"
"8" "4" "tsh" "2e+05" "100" "1e-08" "1" "8" "0" "8" "18" "0" "0" "18"
"9" "5" "phy" "2e+05" "100" "1e-08" "1" "27" "20" "7" "7" "0.740740740740741" "0.740740740740741" "27"
"10" "5" "tsh" "2e+05" "100" "1e-08" "1" "15" "1" "14" "26" "0.0666666666666667" "0.037037037037037" "27"
"11" "6" "phy" "2e+05" "100" "1e-08" "1" "19" "17" "2" "4" "0.894736842105263" "0.80952380952381" "21"
"12" "6" "tsh" "2e+05" "100" "1e-08" "1" "5" "0" "5" "21" "0" "0" "21"
"13" "7" "phy" "2e+05" "100" "1e-08" "1" "30" "25" "5" "6" "0.833333333333333" "0.806451612903226" "31"
"14" "7" "tsh" "2e+05" "100" "1e-08" "1" "6" "1" "5" "30" "0.166666666666667" "0.032258064516129" "31"
"15" "8" "phy" "2e+05" "100" "1e-08" "1" "22" "16" "6" "4" "0.727272727272727" "0.8" "20"
"16" "8" "tsh" "2e+05" "100" "1e-08" "1" "14" "0" "14" "20" "0" "0" "20"
"17" "9" "phy" "2e+05" "100" "1e-08" "1" "28" "22" "6" "1" "0.785714285714286" "0.956521739130435" "23"
"18" "9" "tsh" "2e+05" "100" "1e-08" "1" "12" "0" "12" "23" "0" "0" "23"
"19" "10" "phy" "2e+05" "100" "1e-08" "1" "26" "25" "1" "12" "0.961538461538462" "0.675675675675676" "37"
"20" "10" "tsh" "2e+05" "100" "1e-08" "1" "15" "0" "15" "37" "0" "0" "37"
"21" "11" "phy" "2e+05" "100" "1e-08" "1" "28" "25" "3" "7" "0.892857142857143" "0.78125" "32"
"22" "11" "tsh" "2e+05" "100" "1e-08" "1" "9" "1" "8" "31" "0.111111111111111" "0.03125" "32"
"23" "12" "phy" "2e+05" "100" "1e-08" "1" "31" "27" "4" "4" "0.870967741935484" "0.870967741935484" "31"
"24" "12" "tsh" "2e+05" "100" "1e-08" "1" "14" "0" "14" "31" "0" "0" "31"
