# 
# -- Phylter v. 0.9.3 -- 
# Wed Nov 16 12:13:08 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=3
# k2=3
# Norm=median
# Norm.cutoff=0.001
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# InitialOnly=FALSE
# normalizeby=row
# 
# CLEANING STEP
# 
# Initial number of genes passed to Phylter: 14463
# Number of genes discarded before the analysis: 0
# Genes discarded: 
# 
# SUMMARY
# 
# Number of genes analyzed: 14463
# Number of species analyzed: 53
# Total number of outliers detected: 7183
# Number of complete gene outliers : 1
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.849662509922961
# Gain: 6.55% 
# Loss (data filtering): 1.13% 
# Outlier gene(s) detected: ENSG00000086967_MYBPC2
# 
# OUTLIERS (including discarded elements, if any)
# 
# Genes	Species
ENSG00000000003_TSPAN6	Callorhinus_ursinus
ENSG00000002745_WNT16	Otocyon_megalotis
ENSG00000002834_LASP1	Ursus_thibetanus
ENSG00000005022_SLC25A5	Arctocephalus_gazella
ENSG00000005243_COPZ2	Procyon_lotor
ENSG00000005379_TSPOAP1	Nasua_narica
ENSG00000005381_MPO	Ailurus_fulgens
ENSG00000005471_ABCB4	Paradoxurus_hermaphroditus
ENSG00000005471_ABCB4	Ursus_arctos
ENSG00000005471_ABCB4	Panthera_tigris
ENSG00000005471_ABCB4	Acinonyx_jubatus
ENSG00000005471_ABCB4	Pteronura_brasiliensis
ENSG00000005471_ABCB4	Procyon_lotor
ENSG00000005471_ABCB4	Otocyon_megalotis
ENSG00000005471_ABCB4	Mirounga_angustirostris
ENSG00000005471_ABCB4	Leptonychotes_weddellii
ENSG00000005882_PDK2	Paradoxurus_hermaphroditus
ENSG00000005882_PDK2	Nasua_narica
ENSG00000007174_DNAH9	Felis_catus
ENSG00000007174_DNAH9	Panthera_pardus
ENSG00000007174_DNAH9	Eumetopias_jubatus
ENSG00000007174_DNAH9	Crocuta_Crocuta
ENSG00000007174_DNAH9	Helogale_parvula
ENSG00000007174_DNAH9	Mellivora_capensis
