# 
# -- Phylter v. 0.9 -- 
# Thu Feb 10 15:03:10 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=3
# Norm=TRUE
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# 
# SUMMARY
# 
# Total number of outliers detected: 1162
# Number of complete gene outliers : 0
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.806179556422178
# Gain: 2.2% 
# Loss (data filtering): 0.18% 
# 
# OUTLIERS (contains complete outliers)
# 
# Genes	Species
ENSG00000000003_TSPAN6	Callorhinus_ursinus
ENSG00000005243_COPZ2	Procyon_lotor
ENSG00000005381_MPO	Ursus_maritimus
ENSG00000005381_MPO	Ailurus_fulgens
ENSG00000005882_PDK2	Paradoxurus_hermaphroditus
ENSG00000005882_PDK2	Nasua_narica
ENSG00000010295_IFFO1	Crocuta_Crocuta
ENSG00000010295_IFFO1	Panthera_tigris
ENSG00000010295_IFFO1	Puma_concolor
ENSG00000011454_RABGAP1	Manis_javanica
ENSG00000011454_RABGAP1	Cryptoprocta_ferox
ENSG00000011454_RABGAP1	Helogale_parvula
ENSG00000011454_RABGAP1	Prionailurus_bengalensis
ENSG00000011454_RABGAP1	Taxidea_taxus
ENSG00000011454_RABGAP1	Ursus_arctos
ENSG00000011454_RABGAP1	Leptonychotes_weddellii
ENSG00000012504_NR1H4	Leptonychotes_weddellii
ENSG00000021645_NRXN3	Panthera_tigris
ENSG00000023445_BIRC3	Panthera_onca
ENSG00000023445_BIRC3	Ursus_arctos
ENSG00000023839_ABCC2	Potos_flavus
ENSG00000033100_CHPF2	Taxidea_taxus
ENSG00000034239_EFCAB1	Ursus_americanus
ENSG00000034239_EFCAB1	Arctocephalus_gazella
ENSG00000039987_BEST2	Puma_concolor
ENSG00000042813_ZPBP	Suricata_suricatta
ENSG00000042813_ZPBP	Mungos_mungo
ENSG00000042813_ZPBP	Prionailurus_bengalensis
ENSG00000042813_ZPBP	Panthera_onca
ENSG00000042813_ZPBP	Mellivora_capensis
ENSG00000042813_ZPBP	Pteronura_brasiliensis
ENSG00000043355_ZIC2	Panthera_tigris
ENSG00000043355_ZIC2	Ursus_maritimus
ENSG00000048392_RRM2B	Paradoxurus_hermaphroditus
ENSG00000048392_RRM2B	Neovison_vison
ENSG00000048392_RRM2B	Pteronura_brasiliensis
ENSG00000048392_RRM2B	Lutra_lutra
ENSG00000048392_RRM2B	Ursus_americanus
ENSG00000048392_RRM2B	Bassariscus_sumichrasti
ENSG00000048545_GUCA1A	Lynx_pardinus
ENSG00000048545_GUCA1A	Panthera_tigris
ENSG00000048545_GUCA1A	Acinonyx_jubatus
ENSG00000048828_FAM120A	Bassariscus_sumichrasti
ENSG00000048828_FAM120A	Panthera_leo
ENSG00000048828_FAM120A	Ursus_americanus
ENSG00000048828_FAM120A	Spilogale_gracilis
ENSG00000049860_HEXB	Suricata_suricatta
ENSG00000049860_HEXB	Neofelis_nebulosa
ENSG00000049860_HEXB	Taxidea_taxus
ENSG00000049860_HEXB	Arctocephalus_gazella
ENSG00000055732_MCOLN3	Neofelis_nebulosa
ENSG00000055813_CCDC85A	Taxidea_taxus
ENSG00000059377_TBXAS1	Mellivora_capensis
ENSG00000059377_TBXAS1	Helogale_parvula
ENSG00000059377_TBXAS1	Pteronura_brasiliensis
ENSG00000059377_TBXAS1	Procyon_lotor
ENSG00000060138_YBX3	Bassariscus_sumichrasti
ENSG00000060138_YBX3	Arctocephalus_gazella
ENSG00000061918_GUCY1B3	Bassariscus_sumichrasti
ENSG00000061918_GUCY1B3	Arctocephalus_gazella
ENSG00000063177_RPL18	Felis_catus
ENSG00000063438_AHRR	Lycaon_pictus
ENSG00000063438_AHRR	Otocyon_megalotis
ENSG00000063438_AHRR	Phoca_vitulina
ENSG00000063587_ZNF275	Panthera_leo
ENSG00000065150_IPO5	Taxidea_taxus
ENSG00000065150_IPO5	Ursus_americanus
ENSG00000066735_KIF26A	Nasua_narica
ENSG00000067064_IDI1	Neovison_vison
ENSG00000067064_IDI1	Enhydra_lutris
ENSG00000067715_SYT1	Felis_catus
ENSG00000067715_SYT1	Panthera_pardus
ENSG00000067715_SYT1	Acinonyx_jubatus
ENSG00000067715_SYT1	Mustela_putorius
ENSG00000067715_SYT1	Enhydra_lutris
ENSG00000069275_NUCKS1	Felis_catus
ENSG00000070081_NUCB2	Ursus_americanus
ENSG00000073050_XRCC1	Procyon_lotor
ENSG00000073050_XRCC1	Phoca_vitulina
ENSG00000073050_XRCC1	Hyaena_hyaena
ENSG00000073050_XRCC1	Nasua_narica
ENSG00000075785_RAB7A	Hyaena_hyaena
ENSG00000076685_NT5C2	Panthera_onca
ENSG00000078399_HOXA9	Potos_flavus
