# 
# -- Phylter v. 0.9 -- 
# Thu Feb  3 23:38:24 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=4
# Norm=TRUE
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# 
# SUMMARY
# 
# Total number of outliers detected: 1916
# Number of complete gene outliers : 3
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.819240577302143
# Gain: 3.51% 
# Loss (data filtering): 0.3% 
# Outlier gene(s) detected: ENSG00000159251_ACTC1;ENSG00000178363_CALML3;ENSG00000204007_GLT6D1
# 
# OUTLIERS (contains complete outliers)
# 
# Genes	Species
ENSG00000000003_TSPAN6	Callorhinus_ursinus
ENSG00000002745_WNT16	Otocyon_megalotis
ENSG00000005381_MPO	Ursus_maritimus
ENSG00000005381_MPO	Ailurus_fulgens
ENSG00000005381_MPO	Arctocephalus_gazella
ENSG00000005882_PDK2	Paradoxurus_hermaphroditus
ENSG00000005882_PDK2	Nasua_narica
ENSG00000006534_ALDH3B1	Arctocephalus_gazella
ENSG00000007520_TSR3	Puma_concolor
ENSG00000007866_TEAD3	Panthera_tigris
ENSG00000007866_TEAD3	Paradoxurus_hermaphroditus
ENSG00000007866_TEAD3	Nasua_narica
ENSG00000007933_FMO3	Cryptoprocta_ferox
ENSG00000007933_FMO3	Paradoxurus_hermaphroditus
ENSG00000007933_FMO3	Potos_flavus
ENSG00000007933_FMO3	Bassariscus_sumichrasti
ENSG00000008018_PSMB1	Spilogale_gracilis
ENSG00000009790_TRAF3IP3	Spilogale_gracilis
ENSG00000010295_IFFO1	Crocuta_Crocuta
ENSG00000010295_IFFO1	Panthera_tigris
ENSG00000010295_IFFO1	Puma_concolor
ENSG00000011454_RABGAP1	Cryptoprocta_ferox
ENSG00000011454_RABGAP1	Helogale_parvula
ENSG00000011454_RABGAP1	Prionailurus_bengalensis
ENSG00000011454_RABGAP1	Taxidea_taxus
ENSG00000011454_RABGAP1	Ursus_arctos
ENSG00000011454_RABGAP1	Leptonychotes_weddellii
ENSG00000011523_CEP68	Canis_familiaris
ENSG00000012223_LTF	Gulo_gulo
ENSG00000012223_LTF	Arctocephalus_gazella
ENSG00000012223_LTF	Leptonychotes_weddellii
ENSG00000012504_NR1H4	Leptonychotes_weddellii
ENSG00000013374_NUB1	Puma_concolor
ENSG00000020256_ZFP64	Panthera_tigris
ENSG00000021645_NRXN3	Panthera_tigris
ENSG00000023839_ABCC2	Potos_flavus
ENSG00000033100_CHPF2	Taxidea_taxus
ENSG00000034239_EFCAB1	Ursus_americanus
ENSG00000034239_EFCAB1	Arctocephalus_gazella
ENSG00000039987_BEST2	Puma_concolor
ENSG00000043355_ZIC2	Panthera_tigris
ENSG00000043355_ZIC2	Ursus_maritimus
ENSG00000047457_CP	Bassariscus_sumichrasti
ENSG00000048545_GUCA1A	Lynx_pardinus
ENSG00000048545_GUCA1A	Panthera_tigris
ENSG00000048545_GUCA1A	Acinonyx_jubatus
ENSG00000048828_FAM120A	Bassariscus_sumichrasti
ENSG00000048828_FAM120A	Panthera_leo
ENSG00000048828_FAM120A	Ursus_americanus
ENSG00000048828_FAM120A	Spilogale_gracilis
ENSG00000049860_HEXB	Taxidea_taxus
ENSG00000049860_HEXB	Arctocephalus_gazella
ENSG00000055732_MCOLN3	Neofelis_nebulosa
ENSG00000055813_CCDC85A	Taxidea_taxus
ENSG00000055917_PUM2	Crocuta_Crocuta
ENSG00000055917_PUM2	Suricata_suricatta
ENSG00000055917_PUM2	Panthera_onca
ENSG00000055917_PUM2	Neofelis_nebulosa
ENSG00000055917_PUM2	Taxidea_taxus
ENSG00000055917_PUM2	Lutra_lutra
ENSG00000055917_PUM2	Ursus_arctos
ENSG00000055917_PUM2	Potos_flavus
ENSG00000055917_PUM2	Phoca_vitulina
ENSG00000056558_TRAF1	Lycaon_pictus
ENSG00000057252_SOAT1	Odobenus_rosmarus
ENSG00000059377_TBXAS1	Helogale_parvula
ENSG00000059377_TBXAS1	Mellivora_capensis
ENSG00000059377_TBXAS1	Pteronura_brasiliensis
ENSG00000059377_TBXAS1	Procyon_lotor
ENSG00000060138_YBX3	Bassariscus_sumichrasti
ENSG00000060138_YBX3	Arctocephalus_gazella
ENSG00000061918_GUCY1B3	Bassariscus_sumichrasti
ENSG00000061918_GUCY1B3	Arctocephalus_gazella
ENSG00000063127_SLC6A16	Ailuropoda_melanoleuca
ENSG00000063127_SLC6A16	Neovison_vison
ENSG00000063127_SLC6A16	Potos_flavus
ENSG00000063127_SLC6A16	Canis_familiaris
ENSG00000063127_SLC6A16	Eumetopias_jubatus
ENSG00000063177_RPL18	Felis_catus
ENSG00000063587_ZNF275	Panthera_leo
ENSG00000064300_NGFR	Spilogale_gracilis
ENSG00000065150_IPO5	Taxidea_taxus
ENSG00000065150_IPO5	Ursus_americanus
ENSG00000066735_KIF26A	Nasua_narica
ENSG00000069275_NUCKS1	Felis_catus
ENSG00000070081_NUCB2	Ursus_americanus
ENSG00000070476_ZXDC	Taxidea_taxus
ENSG00000071859_FAM50A	Ailurus_fulgens
ENSG00000073050_XRCC1	Hyaena_hyaena
ENSG00000073050_XRCC1	Nasua_narica
ENSG00000073050_XRCC1	Procyon_lotor
ENSG00000073050_XRCC1	Phoca_vitulina
ENSG00000073670_ADAM11	Odobenus_rosmarus
ENSG00000076258_FMO4	Manis_javanica
ENSG00000076641_PAG1	Manis_javanica
ENSG00000076685_NT5C2	Panthera_onca
ENSG00000077721_UBE2A	Felis_catus
ENSG00000077721_UBE2A	Taxidea_taxus
ENSG00000077721_UBE2A	Mustela_putorius
ENSG00000078589_P2RY10	Gulo_gulo
ENSG00000079313_REXO1	Panthera_tigris
ENSG00000079313_REXO1	Acinonyx_jubatus
ENSG00000079950_STX7	Taxidea_taxus
ENSG00000083720_OXCT1	Cryptoprocta_ferox
ENSG00000084764_MAPRE3	Lynx_pardinus
ENSG00000084764_MAPRE3	Panthera_tigris
ENSG00000085377_PREP	Bassariscus_sumichrasti
ENSG00000085465_OVGP1	Panthera_pardus
ENSG00000085872_CHERP	Ailuropoda_melanoleuca
ENSG00000086475_SEPHS1	Procyon_lotor
ENSG00000086475_SEPHS1	Eumetopias_jubatus
ENSG00000088543_C3orf18	Taxidea_taxus
ENSG00000088543_C3orf18	Procyon_lotor
ENSG00000088766_CRLS1	Manis_javanica
ENSG00000089006_SNX5	Gulo_gulo
ENSG00000089006_SNX5	Arctocephalus_gazella
ENSG00000089169_RPH3A	Paradoxurus_hermaphroditus
ENSG00000089199_CHGB	Manis_javanica
ENSG00000089505_CMTM1	Panthera_pardus
ENSG00000090316_MAEA	Panthera_tigris
ENSG00000090621_PABPC4	Spilogale_gracilis
ENSG00000090621_PABPC4	Arctocephalus_gazella
ENSG00000091640_SPAG7	Acinonyx_jubatus
ENSG00000092607_TBX15	Gulo_gulo
ENSG00000093144_ECHDC1	Canis_familiaris
ENSG00000095932_SMIM24	Gulo_gulo
ENSG00000095932_SMIM24	Ursus_maritimus
ENSG00000096088_PGC	Lynx_pardinus
ENSG00000096088_PGC	Gulo_gulo
ENSG00000096088_PGC	Ursus_americanus
ENSG00000099783_HNRNPM	Gulo_gulo
ENSG00000099864_PALM	Puma_concolor
ENSG00000099864_PALM	Ursus_maritimus
ENSG00000099864_PALM	Spilogale_gracilis
ENSG00000099889_ARVCF	Taxidea_taxus
ENSG00000099889_ARVCF	Arctocephalus_gazella
ENSG00000100012_SEC14L3	Proteles_septentrionalis
ENSG00000100012_SEC14L3	Gulo_gulo
ENSG00000100079_LGALS2	Procyon_lotor
ENSG00000100139_MICALL1	Bassariscus_sumichrasti
ENSG00000100321_SYNGR1	Paradoxurus_hermaphroditus
ENSG00000101004_NINL	Manis_javanica
ENSG00000101144_BMP7	Taxidea_taxus
ENSG00000101180_HRH3	Acinonyx_jubatus
ENSG00000101198_NKAIN4	Odobenus_rosmarus
ENSG00000101331_CCM2L	Arctocephalus_gazella
ENSG00000101353_MROH8	Panthera_onca
ENSG00000101353_MROH8	Pteronura_brasiliensis
ENSG00000101353_MROH8	Ailurus_fulgens
ENSG00000101353_MROH8	Neomonachus_schauinslandi
ENSG00000101421_CHMP4B	Taxidea_taxus
ENSG00000101460_MAP1LC3A	Taxidea_taxus
ENSG00000101474_APMAP	Manis_javanica
ENSG00000101695_RNF125	Manis_javanica
ENSG00000101888_NXT2	Lynx_pardinus
ENSG00000101888_NXT2	Panthera_tigris
ENSG00000101888_NXT2	Gulo_gulo
ENSG00000101945_SUV39H1	Proteles_cristatus
ENSG00000101945_SUV39H1	Ursus_maritimus
ENSG00000101945_SUV39H1	Arctocephalus_gazella
ENSG00000102710_SUPT20H	Taxidea_taxus
ENSG00000102710_SUPT20H	Ursus_americanus
ENSG00000102710_SUPT20H	Arctocephalus_gazella
ENSG00000103184_SEC14L5	Acinonyx_jubatus
ENSG00000103310_ZP2	Taxidea_taxus
ENSG00000103310_ZP2	Procyon_lotor
ENSG00000103310_ZP2	Arctocephalus_gazella
ENSG00000103335_PIEZO1	Ursus_maritimus
ENSG00000103569_AQP9	Helogale_parvula
ENSG00000103569_AQP9	Procyon_lotor
ENSG00000103642_LACTB	Manis_javanica
ENSG00000104043_ATP8B4	Panthera_onca
ENSG00000104043_ATP8B4	Gulo_gulo
ENSG00000104043_ATP8B4	Arctocephalus_gazella
ENSG00000104529_EEF1D	Acinonyx_jubatus
ENSG00000104643_MTMR9	Proteles_cristatus
ENSG00000104643_MTMR9	Potos_flavus
ENSG00000104863_LIN7B	Procyon_lotor
ENSG00000104863_LIN7B	Leptonychotes_weddellii
ENSG00000104879_CKM	Panthera_leo
ENSG00000104885_DOT1L	Puma_concolor
ENSG00000104973_MED25	Lutra_lutra
ENSG00000105618_PRPF31	Arctocephalus_gazella
ENSG00000105679_GAPDHS	Gulo_gulo
ENSG00000105679_GAPDHS	Mirounga_angustirostris
ENSG00000105894_PTN	Nasua_narica
ENSG00000105894_PTN	Arctocephalus_gazella
ENSG00000105968_H2AFV	Panthera_tigris
ENSG00000105968_H2AFV	Mustela_putorius
ENSG00000105968_H2AFV	Paradoxurus_hermaphroditus
ENSG00000105968_H2AFV	Felis_catus
ENSG00000105968_H2AFV	Taxidea_taxus
ENSG00000105968_H2AFV	Ursus_thibetanus
ENSG00000105968_H2AFV	Procyon_lotor
ENSG00000105968_H2AFV	Odobenus_rosmarus
ENSG00000106004_HOXA5	Cryptoprocta_ferox
ENSG00000106004_HOXA5	Panthera_onca
ENSG00000106004_HOXA5	Ursus_arctos
ENSG00000106004_HOXA5	Spilogale_gracilis
ENSG00000106113_CRHR2	Panthera_onca
ENSG00000106113_CRHR2	Leptonychotes_weddellii
ENSG00000106278_PTPRZ1	Canis_familiaris
ENSG00000106615_RHEB	Paradoxurus_hermaphroditus
ENSG00000106723_SPIN1	Procyon_lotor
ENSG00000106723_SPIN1	Cryptoprocta_ferox
ENSG00000106723_SPIN1	Arctocephalus_gazella
ENSG00000107372_ZFAND5	Gulo_gulo
ENSG00000107443_CCNJ	Vulpes_vulpes
ENSG00000108179_PPIF	Taxidea_taxus
ENSG00000108312_UBTF	Panthera_onca
ENSG00000109063_MYH3	Gulo_gulo
ENSG00000109103_UNC119	Felis_catus
ENSG00000109184_DCUN1D4	Procyon_lotor
ENSG00000109184_DCUN1D4	Leptonychotes_weddellii
ENSG00000109606_DHX15	Ailurus_fulgens
ENSG00000110042_DTX4	Panthera_onca
ENSG00000110042_DTX4	Taxidea_taxus
ENSG00000110042_DTX4	Ursus_arctos
ENSG00000110042_DTX4	Nasua_narica
ENSG00000110171_TRIM3	Gulo_gulo
ENSG00000110455_ACCS	Helogale_parvula
ENSG00000110455_ACCS	Mellivora_capensis
ENSG00000111245_MYL2	Arctocephalus_gazella
ENSG00000111276_CDKN1B	Lynx_pardinus
ENSG00000111344_RASAL1	Crocuta_Crocuta
ENSG00000111344_RASAL1	Helogale_parvula
ENSG00000111344_RASAL1	Paradoxurus_hermaphroditus
ENSG00000111665_CDCA3	Arctocephalus_gazella
ENSG00000111674_ENO2	Leptonychotes_weddellii
ENSG00000111711_GOLT1B	Nasua_narica
ENSG00000111875_ASF1A	Lynx_pardinus
ENSG00000111875_ASF1A	Mungos_mungo
ENSG00000112305_SMAP1	Manis_javanica
ENSG00000112319_EYA4	Manis_javanica
ENSG00000112333_NR2E1	Arctocephalus_gazella
ENSG00000112394_SLC16A10	Manis_javanica
ENSG00000112699_GMDS	Bassariscus_sumichrasti
ENSG00000112761_WISP3	Vulpes_vulpes
ENSG00000112852_PCDHB2	Suricata_suricatta
ENSG00000113460_BRIX1	Gulo_gulo
ENSG00000114115_RBP1	Ursus_maritimus
ENSG00000114115_RBP1	Taxidea_taxus
