# 
# -- Phylter v. 0.9 -- 
# Thu Feb  3 22:50:27 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=3
# Norm=TRUE
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# 
# SUMMARY
# 
# Total number of outliers detected: 3783
# Number of complete gene outliers : 1
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.832310489889332
# Gain: 4.82% 
# Loss (data filtering): 0.6% 
# Outlier gene(s) detected: ENSG00000178363_CALML3
# 
# OUTLIERS (contains complete outliers)
# 
# Genes	Species
ENSG00000000003_TSPAN6	Callorhinus_ursinus
ENSG00000002745_WNT16	Otocyon_megalotis
ENSG00000002919_SNX11	Canis_familiaris
ENSG00000005175_RPAP3	Manis_javanica
ENSG00000005381_MPO	Ursus_maritimus
ENSG00000005381_MPO	Ailurus_fulgens
ENSG00000005381_MPO	Arctocephalus_gazella
ENSG00000005882_PDK2	Paradoxurus_hermaphroditus
ENSG00000005882_PDK2	Nasua_narica
ENSG00000006534_ALDH3B1	Arctocephalus_gazella
ENSG00000007520_TSR3	Puma_concolor
ENSG00000007866_TEAD3	Panthera_tigris
ENSG00000007866_TEAD3	Paradoxurus_hermaphroditus
ENSG00000007866_TEAD3	Nasua_narica
ENSG00000007933_FMO3	Cryptoprocta_ferox
ENSG00000007933_FMO3	Paradoxurus_hermaphroditus
ENSG00000007933_FMO3	Taxidea_taxus
ENSG00000007933_FMO3	Potos_flavus
ENSG00000007933_FMO3	Bassariscus_sumichrasti
ENSG00000008018_PSMB1	Spilogale_gracilis
ENSG00000009790_TRAF3IP3	Spilogale_gracilis
ENSG00000010295_IFFO1	Crocuta_Crocuta
ENSG00000010295_IFFO1	Panthera_tigris
ENSG00000010295_IFFO1	Puma_concolor
ENSG00000011454_RABGAP1	Manis_javanica
ENSG00000011454_RABGAP1	Cryptoprocta_ferox
ENSG00000011454_RABGAP1	Helogale_parvula
ENSG00000011454_RABGAP1	Prionailurus_bengalensis
ENSG00000011454_RABGAP1	Taxidea_taxus
